# Copyright (c) 2026 Joseph Potashnik.
# Licensed under the MIT License. See LICENSE.txt for details.
# Samples of Target EnglishFragmentWithADJAmbiguousPPAdunction.txt #
Count	Sentence
11	a pretty cheap woman from Mary from John hated John
3	John for John hated the cheap cheap pretty pretty woman
2	the big child knows a cheap man from John fell
18	a man from David to Who loved Who to Who
29	a bells for a child to John from David ran
4	Who says the bells knows John for a man cried
1	a woman knows Who for the bells hated the woman
6	Who says the big child from the big woman cried
4	Mary says Mary knows the bells knows Who kissed Who
1	a cheap cheap pretty bells for Who cried from David
5	the man for the bells knows Mary for Who fell
2	the cheap girl knows a child arrived to the girl
2	David from a child knows the woman arrived from Mary
5	the cheap cheap cheap big man for a girl fell
3	David says Who says David to a pretty woman fell
24	a child says the child cried for John for Who
3	John to a man says a woman from Mary cried
3	a girl for a cheap woman ran from the man
3	a woman knows Who knows Mary to John hated David
28	the cheap girl hated Mary to a woman for David
4	Who for Mary says the girl to a man fell
2	Who says Who knows Mary knows the girl hated John
8	the girl for a man for a woman hated Who
1	a woman knows the big big girl hated a girl
2	a big cheap big woman hated the pretty big child
10	John hated the cheap man from the pretty pretty child
2	the woman says David knows Who says Who loved Mary
2	the child from John says John knows the bells ran
1	a pretty man for a girl knows Mary hated Who
1	David says David knows David to Mary kissed a man
3	a girl to a big big pretty pretty man fell
3	a big child from Mary ran for the cheap girl
14	David says David for Who kissed a man to Mary
4	a pretty girl to Who says Mary to David cried
69	the girl loved John to David from David to Who
2	the pretty child knows Mary says Who arrived from John
15	Mary knows a man for Who loved Mary for Who
1	a big child to a cheap pretty big bells cried
6	David to a girl loved Who from the pretty woman
3	the big cheap big woman from David hated a bells
2	the girl says a pretty child toll for the child
9	David says a girl toll for the big cheap child
8	David knows the girl from David arrived from the bells
5	Mary says the woman from Who says a girl ran
7	Who knows Who to Who for a pretty bells cried
9	Mary from David fell for a cheap bells for Who
6	the pretty cheap woman ran for the girl for John
4	the cheap man from the big bells toll to Who
7	a man for David from the child arrived from Who
5	John knows a big woman says John says John cried
62	Who fell to Who to David for John from Who
6	a big big girl to David for the bells fell
22	David cried to a girl for the girl to Mary
7	David says the girl says John says a bells cried
21	David went from David from a girl to the girl
8	the big pretty man to John kissed a big bells
3	the woman knows the man says Mary to Mary cried
4	John says Who from the girl hated a pretty man
22	John to David from the cheap bells from Mary cried
52	Who knows Mary loved Who from a child for David
3	Who knows the pretty pretty bells to David hated Who
12	the woman for David from John to a child cried
11	a man to a man for Who says David cried
4	a girl to the big bells says the child fell
1	David from a pretty cheap pretty man went from Who
3	the man knows Mary kissed the big pretty big child
8	a pretty big cheap child ran from Who for John
4	Who knows a cheap pretty girl went from a man
5	David knows Who for John knows Who to Who fell
4	Who for the bells says Who knows a child cried
2	John knows the cheap man says Who kissed a man
8	John says Mary knows Who says Who loved a man
33	Mary went for a pretty man for John to Who
3	a woman from John says David says Mary kissed John
5	the man fell for the pretty pretty big pretty woman
26	John toll to a child to the bells to Who
9	the bells from Who ran for a bells for Mary
13	David for the cheap cheap pretty woman to John ran
2	Who says a girl says the child to Mary ran
7	the cheap big pretty man says David went from Who
3	the pretty big child knows a bells went for Mary
13	a child knows a man says David fell to John
7	the big big cheap big man knows a woman fell
11	Who for a girl went for a bells for Who
23	the pretty girl ran to John to Who for Who
4	Mary says a man says John knows John hated David
18	Who for the man for David for a man cried
3	David says David from a woman went for the bells
22	Mary for Mary went for Mary to Mary to Who
11	David to the cheap girl from David arrived for Mary
4	David from Mary says a cheap girl kissed the child
4	a bells knows the woman kissed the pretty big man
20	Who for a child from John kissed Who for David
2	David knows a child to the man knows David ran
23	John knows David ran to David to the big child
41	John to David ran from John from Who from David
29	a man fell from a bells to Mary from Who
13	a child to Mary from the bells says Mary cried
5	the child says Mary to the bells went from Who
10	John to David for Mary says Mary from Mary ran
7	Who for Who from the girl loved a cheap girl
8	a cheap cheap child cried for Mary from the child
3	John knows the pretty big pretty man went for David
3	the cheap big pretty big big big big girl cried
6	a bells to Who to a big pretty woman cried
17	David loved the woman to the man for the man
7	John to John says David says a big child fell
4	the woman says Who arrived for the cheap pretty bells
4	the woman says Who from Who says Mary kissed Mary
3	the pretty girl to John arrived to Mary from David
17	Mary says the girl says a girl cried from Who
4	the big bells from the child hated a big girl
1	Who knows John from Who knows a bells kissed Mary
5	the cheap bells says the child loved a cheap bells
5	the woman from the pretty cheap woman went to David
4	John knows David knows the cheap girl loved a bells
9	Who knows the woman from the child went to Mary
4	John for a cheap big cheap woman loved a woman
8	John to a cheap bells for Mary says Who cried
54	John kissed David for Who from a man for Who
5	Mary knows a pretty cheap big pretty child loved Mary
45	a man says John kissed David to Who from John
4	the pretty big man from the girl knows Who ran
5	Who knows Who for Who knows a cheap girl fell
4	the girl says a girl from Mary cried to Mary
9	the man to a cheap man to Mary kissed Mary
63	David says the girl hated John for Mary to David
10	Who from John from a man toll for a girl
6	Who knows David knows the girl from a bells fell
5	Who from John for Who loved the big big child
6	a big bells says Who from David cried to Who
3	a cheap man says John says the big bells cried
22	David says Mary says Who kissed the woman to Who
1	the pretty man from the pretty child loved a girl
4	Who to a cheap cheap pretty cheap bells hated David
11	Who knows John for the bells cried from the bells
7	a girl for a cheap girl arrived for a man
6	John knows a big woman from Who arrived to John
21	the man loved Who to a big child from David
3	John from John knows the girl says David loved David
3	Who from a child knows the big cheap bells cried
4	the pretty girl knows Who says Who hated a girl
3	the big pretty cheap woman fell to the cheap child
23	David hated a pretty big child from David to Mary
4	the cheap child says Mary from Who went from David
6	a big man to David loved a pretty pretty child
4	a big big cheap cheap pretty girl kissed a child
31	John hated the pretty child to David for a bells
8	David ran from David from a pretty big pretty girl
7	a man toll for a bells for a big bells
8	a big big bells arrived to a child to Who
11	the bells arrived to Mary from the big pretty man
13	the cheap child for Who from David arrived from David
18	David knows John toll to a pretty man to David
3	the big man knows Who says the girl hated David
7	the woman from the pretty big girl kissed a man
6	a big man knows the big woman ran from Mary
12	the cheap bells knows Who hated a woman from David
19	Who to Mary to Who for David went for John
4	the child says a pretty big woman knows Who fell
29	the pretty girl loved a bells for Mary for David
24	John knows John to Who from Mary from Mary ran
21	a bells ran for Who to John to a man
10	a cheap woman for the girl toll from the bells
45	Mary knows Mary kissed Mary to Mary from the woman
3	a big girl from David says David kissed a girl
23	Mary knows Who says Who loved Mary to a bells
4	the cheap big pretty bells knows Mary to Who fell
8	Who for a girl to a man hated a man
22	the big girl arrived to David from David from Mary
7	Mary knows Who knows Who for John to David fell
11	a pretty woman from Who for David says John cried
5	John knows a girl knows a girl says Who ran
7	Who knows John toll for the big cheap big girl
6	John to a girl knows a child knows David cried
5	Who knows a big pretty big woman says John fell
13	a big child from the girl for the girl ran
7	a man to Who from the woman kissed a woman
9	Mary says the girl for David to Who loved Mary
4	Who from the pretty girl knows John loved the child
8	the cheap woman says the child fell for a girl
16	Mary for Mary for Mary cried from Who to Mary
3	John for David says Mary says Mary kissed the girl
6	a big cheap man for a bells arrived for David
10	David for a child loved a child for the woman
7	John for Who ran to John for a cheap girl
30	John to Who to David from John knows David ran
8	David knows Who says John says Mary toll from David
25	the man cried from Who for a man to David
12	John from the child knows the woman ran to David
17	John from Who arrived to Who for the pretty girl
4	a man knows a child for Mary arrived for Who
17	David for Who for David to a cheap man fell
6	the pretty child to Mary fell for Mary from John
11	the child says Mary arrived for a man to Mary
6	John from Mary knows the pretty woman to Mary fell
2	the cheap pretty bells says the cheap man hated Mary
4	David to a pretty pretty big pretty big child ran
15	Mary says a cheap woman says Mary fell for David
6	a big big big pretty bells loved David to David
4	the big pretty cheap pretty big bells for Mary fell
1	a pretty big cheap woman went to a pretty child
32	Who to John to Mary to Who fell to John
19	David knows David from Mary cried to David to David
17	John ran for John to John for the cheap child
11	Who says David from David from a woman kissed Who
5	John knows the man from John knows David loved Mary
25	Who says the cheap child cried from Mary for John
5	John from David knows Mary to the big child ran
9	the cheap cheap child for David hated David to David
9	Mary to a girl to David kissed the pretty bells
14	Who for David kissed a pretty cheap man to Who
8	the big big cheap girl kissed John to a child
11	Who knows John cried from a cheap pretty cheap bells
13	Mary for John from Who kissed the bells from Mary
19	the big bells knows John toll from John to Who
13	John for the big girl to a bells kissed Who
2	Mary knows Mary knows Mary for David knows David ran
14	the woman to David to a bells for Who fell
7	a child says John says Mary toll to the woman
26	Mary says Mary fell to a cheap woman for Who
3	a cheap man knows a big bells toll for David
20	David knows Mary for David loved David from the man
15	the woman says the woman kissed Mary from the man
13	the woman knows Who kissed the woman for a child
4	David says a child knows John went for the girl
8	a bells to the bells from Who ran from Who
8	Who went to John to the big big pretty man
6	Mary knows the cheap woman says the bells loved John
11	Mary from John to Mary says the pretty bells cried
16	John for Mary knows Mary kissed the child to Who
19	Who from John hated John to the girl for Mary
22	Mary from Mary hated David for Who for a child
32	a girl arrived from John for John to the man
5	the woman says the woman from the child loved Mary
5	John knows the cheap cheap cheap cheap big child fell
8	a man says the bells knows a pretty girl fell
9	a cheap woman knows David says David knows David ran
6	the big man toll from the cheap big pretty man
4	the man to John went to a pretty cheap bells
7	Mary knows the cheap pretty big child from John ran
7	a girl cried from Mary from the cheap pretty child
2	John for David knows a child kissed a big child
6	a pretty cheap cheap big big cheap child loved Mary
5	a woman from Who knows Who arrived to the bells
8	Who says Who knows a man for John kissed Who
21	John loved John for a big bells from a woman
14	Who says a man kissed a bells to the bells
17	a woman knows David knows Who hated Who from Who
5	John to a woman knows Who to a woman fell
6	the cheap pretty cheap cheap cheap woman went for Who
9	the woman from David from the child fell for Who
17	John knows the big girl loved a woman to Mary
6	David knows John knows the big big pretty man cried
9	the cheap man knows Who says John fell from Mary
1	a bells for a pretty big woman knows John fell
7	a cheap bells to a big big girl kissed Who
6	a cheap child to John says Mary knows John ran
12	David to a child hated the cheap pretty cheap bells
8	John loved a big pretty cheap child for the man
22	David to John knows John says John cried for John
19	Who says Who knows Who cried for the cheap bells
27	the child for Who to John to Mary kissed David
8	the cheap pretty child hated the woman for a child
8	David to John hated the woman for the big child
6	the woman for John says Who from David hated Mary
10	Who from Who says a child kissed John for John
7	the bells says John says John from the bells ran
9	Who from the child to a bells toll to Who
10	the bells says Who from Who to John hated John
7	David knows Who says David knows Mary for Mary cried
6	a pretty pretty big woman knows the big girl cried
11	the girl knows the child went from Who to John
9	a bells loved a big big cheap man to David
10	the pretty child for Who loved the woman to Mary
5	John to the child knows the pretty man hated Mary
5	the child knows Who says Who loved a cheap girl
17	John knows a girl knows Who ran for the bells
5	the big bells cried from the pretty big pretty woman
7	John knows Mary from a pretty man knows Who ran
3	the bells from Who knows the bells went to Mary
12	a big woman ran from a pretty girl for David
11	David for Mary knows David for David to David cried
3	Mary says Mary loved a cheap pretty cheap cheap man
18	a girl from a bells kissed the bells for John
11	Who for Who knows David says John arrived from Mary
5	Mary says a child knows the cheap bells hated David
13	a child knows the cheap girl hated Mary from Mary
14	Who for the pretty bells from the cheap bells ran
4	David to Who says the pretty cheap bells hated Mary
5	the child knows the big child knows David kissed John
27	Mary to Who to the girl to David kissed Who
10	John toll to a bells from a pretty big woman
8	a big child kissed John to a big pretty bells
7	a cheap woman says the big pretty man loved David
14	the big cheap girl loved Mary to a cheap man
8	the girl to Who kissed a cheap man to Mary
6	the bells from David loved Mary to the cheap child
6	a big cheap bells hated a pretty girl to John
8	David says a bells to the bells hated the child
24	David from Mary for Who says David cried from Mary
7	Mary says Who knows a big big child loved Who
11	Who knows the man for John for the man cried
23	David knows John for John for Mary cried to Mary
8	Mary for John to a woman knows John loved Mary
15	the cheap child to John from a man hated John
9	the big big pretty girl hated a woman for David
7	the woman knows John to John for the girl fell
28	John cried to Who to a big child from Mary
23	the man arrived to the child to John to David
16	John from John to a bells kissed Mary to John
9	a girl from the man from David hated the man
10	a woman for Mary went to Who to the woman
10	David says Mary arrived from Mary for the cheap woman
25	John hated Who from Mary to the pretty cheap girl
5	a pretty woman to Who says the big child cried
2	Mary for a cheap big man knows a man fell
5	the man to the man knows John knows David ran
6	a big woman to David from John cried to Mary
4	Mary says the big cheap pretty child kissed the girl
11	a pretty bells kissed the bells from a cheap woman
20	the cheap man for David from John for David fell
18	the bells hated Who to a woman to the man
25	the girl went for John to a bells for David
11	John for the girl cried from David for the bells
4	Who knows a man says the pretty big man fell
6	a pretty bells to the pretty child knows John fell
5	a man knows John knows the pretty child loved David
13	John to John toll to a bells to a child
11	Mary says a cheap big girl kissed Who from Who
2	a cheap pretty pretty woman for a bells loved Who
22	Who went to Who to a pretty bells from Mary
6	the woman says the big bells loved a pretty bells
12	John knows John says Who for David ran from John
11	John says a pretty woman kissed David for a bells
10	a cheap cheap pretty bells from Who for Who cried
15	the pretty cheap girl says Mary cried for the girl
5	John says a pretty bells loved a pretty big man
14	Who from Who for a child ran for a man
4	David says a big pretty girl to the man cried
6	Who says Who to the woman says a bells cried
17	the child fell for the pretty pretty man from Mary
10	the girl for Mary for a big man hated David
7	the child knows the bells for a big bells ran
8	the big child knows the child kissed David from Who
27	Who for the man hated David from David for David
8	David to the big bells toll from the big child
28	John kissed David from the girl to the cheap bells
30	a child from Who loved Mary from Who from David
18	David knows David says Who says Who fell to David
5	Who says Who knows a man went from the bells
13	Who to Who went from a big bells to John
30	the man says David fell for a bells for John
7	David to Who says John to John kissed the bells
13	John knows David for a girl to the girl fell
7	a cheap man cried for John from the big man
18	the bells knows David hated the big child from John
20	Mary knows Mary says David went to Mary to David
10	a man says a girl to Mary loved a girl
4	David from a big pretty girl ran to the child
4	John for a big girl kissed the pretty cheap girl
5	Who for the bells went to a pretty cheap man
9	Who knows the man to John fell for a bells
5	the bells cried to the bells to a big bells
15	John says David for David says David fell for David
6	a big bells hated the pretty pretty pretty big woman
7	the girl knows the man went from the cheap bells
28	Mary knows John fell from the girl to the man
17	a woman knows Who says a girl cried from John
16	John for Mary from a cheap big man hated David
8	a man from John from Mary arrived from the girl
10	Mary for the cheap girl from Who fell to John
10	David knows the bells ran from the pretty pretty woman
3	the cheap cheap pretty cheap woman says John hated Mary
8	John knows Mary from a pretty bells for Mary cried
5	Mary to a child knows a child hated a man
30	John toll from Mary from David to the pretty bells
5	the woman for Mary says a big woman hated David
9	John to Who knows Mary toll for the cheap girl
9	the bells for the girl to Mary went to Who
21	Mary loved a man to a pretty woman for David
29	David says Who says the bells hated Who from Mary
7	David to David knows John for John toll from David
6	David to the pretty big woman loved the cheap girl
8	a big cheap girl fell for the cheap pretty man
8	a man knows Who fell to a pretty big child
3	the pretty bells knows the man from Who kissed Who
15	a man from a man says John fell from John
12	a bells from the bells arrived from Who for Mary
23	John to Who from David loved Who from the child
14	John says a child hated David from the pretty child
8	a bells to a big pretty woman to Mary ran
4	the man to Mary knows a girl knows David ran
7	a bells to Who for David ran from the bells
6	Who knows a pretty child to a bells loved David
7	a woman knows a man knows a man hated John
4	John says John knows a pretty bells says David ran
5	the child cried for a pretty girl for a man
6	a big girl knows a man knows Who loved David
13	John says a child from a woman from John ran
7	John says a pretty pretty man cried from the child
6	the pretty woman to a big woman fell for Who
9	John says the big pretty cheap woman ran for Who
7	John to a man says Who kissed a pretty woman
12	David for the pretty cheap child from the bells ran
9	Mary for a child from John knows David hated Mary
2	a cheap big girl knows the child to David ran
11	a big girl from Mary kissed John to a man
4	Who for the cheap child cried from a cheap man
5	Who says David knows the cheap man went to David
32	Mary for a woman to a man for John cried
4	Mary says John for the cheap woman loved the child
6	a girl for Who fell for the big pretty woman
6	the woman from John says John hated a cheap girl
4	the bells from the big girl hated a pretty bells
41	David says Who loved a man to David to Who
12	a cheap man went to a cheap man for Mary
27	David says a girl fell from the bells to David
11	Mary from John says the child knows a bells fell
6	the big child knows the man from the bells ran
37	Mary from Who knows John cried to David to Mary
5	a pretty child says John to the pretty man cried
9	a big cheap woman says John went to the bells
6	the cheap big woman for a big woman kissed Who
7	the child knows the cheap child from Who loved Mary
2	the big big cheap girl says John hated a woman
3	the big cheap man knows a man says David cried
18	Who knows Mary for David went for John for Who
5	John says a big man knows John for Mary fell
7	Mary knows John to a big woman arrived for Who
5	John says Who knows Who knows David says Mary fell
5	John knows the man from Who hated the pretty child
8	Mary to a man went for Who to the girl
7	John fell for the cheap cheap cheap bells to John
5	John for Mary ran from a girl to a bells
7	Mary hated a pretty pretty cheap big man for Mary
12	Mary says David to the man for Mary loved Who
31	David fell from Who for a child for the man
16	a cheap woman knows Who fell to the big child
6	the man from a girl knows the bells kissed Who
32	a woman kissed the girl from a girl to John
26	the woman loved Mary from Mary from a pretty girl
10	the cheap girl says David went for the pretty girl
12	Who says Mary for Mary for Mary went for John
7	the cheap child kissed the big girl for the girl
6	a bells says Who from the pretty child hated David
6	Mary knows Who knows Who says the pretty man ran
18	a woman says the bells hated the woman for Mary
3	a woman says a pretty cheap big woman hated John
14	a cheap man to Who knows David fell to Who
16	Who knows John knows a man fell to a man
18	John knows a cheap girl toll from David for John
9	Mary says John loved a woman to a cheap man
7	the bells knows Mary from Who cried from the man
6	the man for the woman says the cheap man fell
6	a man to David says the bells cried to Who
12	the child went from a pretty cheap girl from David
11	David for a woman to a bells says Mary fell
3	David for Mary knows a bells went to a bells
7	John says John hated the cheap girl to a man
14	a big cheap girl says David loved David to Mary
9	the big woman loved the cheap cheap woman for Who
9	the child went from the big girl from the man
28	John toll for the woman for John to a child
8	John knows Who to the girl says David kissed Mary
9	a child from David for Mary knows a man fell
11	Mary for Mary loved a big bells for a bells
14	Mary for the bells kissed a pretty woman for John
3	the big big girl for David ran from a man
9	Who says a pretty pretty man says John hated Who
6	Mary says Mary says Mary from Mary went from David
11	the girl knows David went to David to the woman
9	a man hated the cheap big child to the bells
4	a big big girl says John knows the girl cried
22	David fell from the pretty woman from Who to David
6	Who to David kissed John for the big big girl
7	a cheap child arrived from the man from the bells
14	the girl from Mary says John cried to the girl
10	a pretty girl went for David to a pretty girl
7	David to a man for David toll for the man
2	the child from John hated the cheap big cheap woman
10	the big child ran from a man to a child
23	the big big bells hated Mary for Mary from John
12	the big man from a pretty man to Who ran
17	Mary from David from John for David loved the woman
1	a child from a woman arrived to a big woman
8	John from Who to the cheap man says David ran
7	a man for the woman loved John to a bells
11	the pretty man to Who for Who kissed a child
11	a pretty pretty man knows a child fell for Mary
3	David for Who knows Mary for a child kissed David
6	John says the child from the pretty pretty girl fell
4	the pretty cheap child says David says Mary kissed Who
3	the pretty bells for a child says a child fell
5	a cheap bells says David to Who kissed a woman
5	the big bells knows John from Who knows Who fell
8	a girl knows the pretty woman from a bells fell
6	John for Mary says the child ran for the bells
3	Mary to John knows a pretty pretty big child cried
9	John says a big woman fell from a big girl
34	John says a woman says David hated Mary to Mary
5	a big big cheap big child cried to the bells
15	a man from David says John kissed John for David
3	the pretty woman knows a cheap bells says David cried
21	Mary arrived to a pretty woman to the big girl
5	Mary to the cheap woman toll for Who for David
11	the bells to David from David loved the cheap man
7	Mary for David says David knows a bells kissed Mary
5	a bells knows Mary says a bells knows Who cried
21	John for David to the bells for the woman ran
4	the cheap big pretty big woman loved a big child
7	David knows Who from John cried to a cheap bells
12	a girl to a big girl to the bells fell
2	a pretty girl for a bells from David hated Mary
5	the big cheap cheap woman for a pretty man cried
14	the man loved the cheap man to the pretty man
8	David kissed Who from a cheap pretty big pretty child
7	Who from Mary arrived to the pretty cheap big woman
5	a bells to John knows the girl hated a woman
3	a bells to the girl says David arrived to John
3	the bells says David knows a bells for David ran
12	Who for the child from the pretty pretty girl fell
20	a cheap child kissed Who to David from the child
14	a girl knows John loved Who for a cheap bells
27	David hated the child to Who to a big girl
11	a girl knows a pretty pretty woman cried from John
7	David knows Mary for Who for David says Mary cried
23	Who says John from the child kissed Mary to Who
5	Mary knows the big man says John went for Mary
6	Mary says David knows the bells says a woman ran
22	Who kissed John to the cheap big girl from David
24	the man loved the child for Who from the woman
9	a child from Who cried from David for a girl
9	John for a child says John fell for the woman
5	David says Mary to a cheap cheap girl loved David
4	John knows a pretty cheap bells says a girl ran
5	Mary to Who says Mary says David says John cried
9	the man says Who from a woman from Who fell
5	David knows John for Who knows Mary says Mary fell
2	a woman knows the pretty cheap woman for Mary fell
2	the child says Mary to John went to the child
5	the big cheap child knows the pretty cheap child ran
2	John toll from a big cheap big pretty cheap girl
7	a woman for the cheap woman says David kissed John
7	a big big big pretty bells arrived from a man
10	John ran to the cheap big girl for a man
7	John says Who from David knows John arrived to David
7	the bells says the girl says Who says Mary fell
12	Mary for Mary for the pretty girl ran for John
4	Who to the pretty big cheap woman knows Mary fell
